id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
163086,"Peaceful private rooms, sleeps 6, zone 2",778948,Laura And Kamilo,"",Islington,London,51.55953,-0.12105,Private room,"£55,00",37,2
165336,Charming Flat in Notting Hill,761400,Nathan,"",Kensington and Chelsea,London,51.51895,-0.21202,Entire home/apt,"£75,00",164,1
166760,"Modern 1 bed flat, fast trains to central london!",794470,Amelia,"",Croydon,London,51.38918,-0.06793,Entire home/apt,"£42,00",10,1
168348,"Feel at Home in a Charming, Bright, Central Apartment in Notting Hill",802297,Alexandra,"",Westminster,London,51.51751,-0.19932,Entire home/apt,"£130,00",146,1
168359,Stunning 2 Bed Apartment in Elephant & Castle,648725,Michele,"",Southwark,London,51.49086,-0.08715,Entire home/apt,"£111,00",10,1
170524,STUNNING APT IN ST JAMES,194769,S,"",Westminster,London,51.50689,-0.14202,Entire home/apt,"£700,00",0,3
170702,A Double Room with  River Views,814004,Marie,"",Tower Hamlets,London,51.49836,-0.02547,Private room,"£60,00",135,1
172629,Room in Kensington + private bathroom,471088,Anthony,"",Kensington and Chelsea,London,51.4946,-0.19441,Private room,"£85,00",135,2
172807,Charming central 2 bedroom flat,824591,Anna,"",Westminster,London,51.51691,-0.15862,Entire home/apt,"£93,00",17,1
172811,Nice double bedroom in NW London,806983,Elinor,"",Camden,London,51.54586,-0.18,Entire home/apt,"£300,00",0,1
174132,Large Bedroom with EnSuite Bathroom,831866,Erika,"",Westminster,London,51.52496,-0.18805,Private room,"£50,00",175,1
174635,1 bedroom in Vibrant Notting Hill,675616,Eric,"",Kensington and Chelsea,London,51.51762,-0.21359,Entire home/apt,"£120,00",51,2
175892,*Best PRICED in Trendy CENTRAL London*200Mb WiFi*,769488,Tanja,"",Hackney,London,51.52828,-0.08646,Entire home/apt,"£120,00",150,10
178519,Newly refurbished 2-bed apartment,1954110,Tariq,"",Brent,London,51.53919,-0.24072,Entire home/apt,"£75,00",15,2
179312,Lovely 1 bed Apartment Islington on Tube Stop,858555,Larissa,"",Islington,London,51.55037,-0.11407,Entire home/apt,"£90,00",7,1
180449,London Battersea Light & Quiet room,864565,Sarah,"",Wandsworth,London,51.46932,-0.15277,Private room,"£57,00",162,2
181763,"1 Bedroom Apartment in Balham, South London",871182,Patrick,"",Wandsworth,London,51.44613,-0.1484,Entire home/apt,"£65,00",3,2
182802,Quiet Double Room - Good for walks,876774,Heather,"",Richmond upon Thames,London,51.43756,-0.32159,Private room,"£50,00",161,1
183019,Big Sunny Double Rm near Big Ben!!,655421,Kathryn,"",Southwark,London,51.48687,-0.09989,Private room,"£55,00",252,2
183128,Modern+own bath near Tate/Southbank,878083,Kyri,"",Southwark,London,51.49865,-0.10284,Private room,"£69,00",146,1
183336,QUEEN VICTORIA CONSCIOUS RETREAT 1,879089,Sandra,"",Brent,London,51.53515,-0.20267,Private room,"£49,00",103,1
186682,Beautiful Modern Bright Spacious 1-Bed Apartment,897316,Emily,"",Brent,London,51.5422,-0.20218,Entire home/apt,"£80,00",32,1
188214,Docklands Gem in central London,168939,Georgia,"",Southwark,London,51.49217,-0.04151,Private room,"£40,00",3,1
