id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
374072,Modern family house in Bondi Beach,1882151,Pascal,"",Waverley,Sydney,"-33,8862000","151,2761009",Entire home/apt,"$375,00",12,1
379498,EntireModern DesignerTerrace House,1817516,Micky,"",Sydney,Sydney,"-33,8852000","151,2126384",Entire home/apt,"$220,00",31,2
381091,Central + Surry Hills + Views + YAY,1905189,Michael,"",Sydney,Sydney,"-33,8829000","151,2112143",Entire home/apt,"$150,00",292,1
386997,Beautiful 2 Bedroom Apt Min Walk to the City,1936434,Thais,"",Sydney,Sydney,"-33,8871000","151,1967763",Entire home/apt,"$210,00",135,7
387130,Coogee Studio Apartment,1937140,Mary,"",Randwick,Sydney,"-33,9206000","151,2529324",Entire home/apt,"$109,00",192,1
388168,10 minutes to the city centre,1940858,Steven,"",North Sydney,Sydney,"-33,8318000","151,2268325",Private room,"$57,00",60,1
389876,Huge Sydney Apartment + Parking,1943399,Paul And Raymond,"",Sydney,Sydney,"-33,8893000","151,2017218",Entire home/apt,"$136,00",443,3
394428,Sydney City Apartment  Petersham,1971920,Kerri,"",Marrickville,Sydney,"-33,8971000","151,1571839",Private room,"$150,00",64,1
394550,"PRIME LOCATION, HYDE PARK & CBD, transport close",1972588,Jacq,"",Sydney,Sydney,"-33,8766000","151,2131220",Private room,"$71,00",154,1
396335,1 bedroom Flat in Newtown Sydney,1980038,Anitta,"",Marrickville,Sydney,"-33,8969000","151,1785601",Entire home/apt,"$136,00",72,2
397905,Fabulous Bondi Beach - Australia.,1987029,Janice,"",Waverley,Sydney,"-33,8853000","151,2824301",Private room,"$100,00",8,1
401004,Double bedroom Bondi Ocean View,168828,Marie,"",Waverley,Sydney,"-33,8797000","151,2795381",Private room,"$53,00",2,2
403909,Master Bedroom w Ensuite &Balcony,2013669,Claire,"",Woollahra,Sydney,"-33,8863000","151,2308099",Private room,"$75,00",1,1
405375,Stanmore - 2 comfy dble bedrooms,2020220,Mark,"",Marrickville,Sydney,"-33,8938000","151,1643959",Entire home/apt,"$220,00",28,1
405432,Quiet and Private Guest Suite a Short Drive to Manly Beach,2020595,Amanda & Darren,"",Warringah,Sydney,"-33,7643000","151,2585167",Entire home/apt,"$100,00",280,1
408200,Modern Cottage House in the West,1499005,Malou,"",Blacktown,Sydney,"-33,7844000","150,8457134",Private room,"$50,00",23,3
408202,Modern Cottage House in the West,1499005,Malou,"",Blacktown,Sydney,"-33,7834000","150,8467469",Private room,"$46,00",11,3
408330,Bondi Beach -  Beachfront Stunner,1911628,Cathy,"",Waverley,Sydney,"-33,8889000","151,2766598",Entire home/apt,"$239,00",51,2
409800,Stylish/ Central Sydney Apartment,304907,Paul,"",Woollahra,Sydney,"-33,8879000","151,2327402",Entire home/apt,"$100,00",2,1
410073,Sydney Opera House-20min walk,2041405,Tabitha And Alastair,"",Sydney,Sydney,"-33,8704000","151,2204651",Entire home/apt,"$172,00",159,2
411828,Private garden studio with bathroom,1391360,Jo,"",Willoughby,Sydney,"-33,8034000","151,1599010",Private room,"$75,00",96,1
412078,Waterfront Collective: Turtle Run .,451946,Rob,"",Pittwater,Sydney,"-33,6427000","151,2791714",Entire home/apt,"$779,00",3,3
412079,Turtle Run: Waterfront Retreat.,451946,Rob,"",Pittwater,Sydney,"-33,6435000","151,2773672",Entire home/apt,"$360,00",10,3
413968,*FULLY FURNISHED ROOM*,2059690,Deyaco,"",Parramatta,Sydney,"-33,8263000","151,0184278",Private room,"$40,00",0,1
418136,Sunny Private Unit near Manly Beach,2079008,Jenny,"",Warringah,Sydney,"-33,7685000","151,2585570",Entire home/apt,"$105,00",34,1
418480,Ocean Views Bondi Tamarama beaches,228864,Craig,"",Waverley,Sydney,"-33,8992000","151,2722646",Entire home/apt,"$186,00",95,3
421997,Leafy Studio with Tranquil Pittwater View,2098455,Leigh & Phillip,"",Pittwater,Sydney,"-33,6409000","151,3202284",Entire home/apt,"$190,00",89,1
426398,"""Garden Studio Apartment"" Paddington Sydney Aust",2052335,Keith,"",Woollahra,Sydney,"-33,8810000","151,2229594",Entire home/apt,"$105,00",158,1
426879,Relax in a Tastefully Decorated East Balmain House,2122483,Anna,"",Leichhardt,Sydney,"-33,8589000","151,1919931",Private room,"$109,00",116,2
429733,Sunny airy flat near beach and city,606003,Jo,"",Woollahra,Sydney,"-33,8853000","151,2636688",Entire home/apt,"$150,00",1,1
