id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
468202,BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI,2322563,Julio And Sarah,Universidad,Centro,Madrid,Entire home/apt,"25,00 €","$29,00",269,1,316,Disponibilidad alta,particular
470132,❤Quiet & Comfortable apartment **Superhost**,2332600,Rodrigo,Embajadores,Centro,Madrid,Entire home/apt,"77,00 €","$89,32",38,1,0,Disponibilidad baja,particular
473112,LUXURY DUPLEX CENTER A/A-WIFI,2346162,Carlos,Justicia,Centro,Madrid,Entire home/apt,"74,00 €","$85,84",55,1,152,Disponibilidad media,particular
479718,Wanda Stadium. Madrid. 20 minutes from Sol by tube,2376402,Jesús,Rosas,San Blas - Canillejas,Madrid,Private room,"76,00 €","$88,16",14,1,363,Disponibilidad alta,particular
490610,"Bed&Breakfast, 2 bedrooms for 3, at Latina",2426135,Fernando,Puerta del Angel,Latina,Madrid,Private room,"38,00 €","$44,08",19,1,0,Disponibilidad baja,particular
491070,NICE APT IN THE HEART OF MADRID !!!,2427722,Ignacio,Universidad,Centro,Madrid,Entire home/apt,"70,00 €","$81,20",11,1,364,Disponibilidad alta,particular
492221,CENTRICO EN EL BARRIO DE LA LATINA,2433045,Manuel,Palacio,Centro,Madrid,Entire home/apt,"69,00 €","$80,04",216,1,227,Disponibilidad alta,particular
493238,ElRastro-Plaza Mayor. Air cond-WIFI,2436735,Gemma,Embajadores,Centro,Madrid,Entire home/apt,"54,00 €","$62,64",205,1,289,Disponibilidad alta,particular
497706,Peaceful apartment in Madrid Centre,2456671,José & María,Jerónimos,Retiro,Madrid,Entire home/apt,"60,00 €","$69,60",211,3,260,Disponibilidad alta,profesional
499911,2 bedroom apartment downtown Madrid,2467212,Joël,Embajadores,Centro,Madrid,Entire home/apt,"97,00 €","$112,52",161,1,258,Disponibilidad alta,particular
502918,Cozy room in penthouse in Madrid's heart,2480913,Elvira,Cortes,Centro,Madrid,Private room,"48,00 €","$55,68",86,1,0,Disponibilidad baja,particular
506956,Precioso  apartamento  céntrico  en Madrid,1932547,Nieves,Concepción,Ciudad Lineal,Madrid,Entire home/apt,"68,00 €","$78,88",411,1,138,Disponibilidad media,particular
507614,Malasaña: Amazing&extremely central 2BD flat,2501740,Moises&Cristina + Little Sophie&Eli,Universidad,Centro,Madrid,Entire home/apt,"84,00 €","$97,44",23,5,364,Disponibilidad alta,profesional
510973,Habitación céntrica a 1 min de Plza Santa Ana,2517520,Ruben,Cortes,Centro,Madrid,Private room,"46,00 €","$53,36",4,1,365,Disponibilidad alta,particular
514917,"Nice room, nice flat",83531,Abdel,Puerta del Angel,Latina,Madrid,Private room,"31,00 €","$35,96",27,2,363,Disponibilidad alta,particular
515008,BIG BED & VERY NICE ROOM YELLOW.,2536524,Marina,Arcos,San Blas - Canillejas,Madrid,Private room,"17,00 €","$19,72",23,4,319,Disponibilidad alta,profesional
515339,Cozy & central flat 35 m2 next to ROYAL PALACE,2538187,Pe,Palacio,Centro,Madrid,Entire home/apt,"65,00 €","$75,40",129,1,0,Disponibilidad baja,particular
518208,BIG BED & VERY NICE ORANGE ROOM.,2536524,Marina,Arcos,San Blas - Canillejas,Madrid,Private room,"21,00 €","$24,36",18,4,349,Disponibilidad alta,profesional
518511,"Central, cheery, light, historic",1150912,Andrew,Embajadores,Centro,Madrid,Private room,"40,00 €","$46,40",8,1,365,Disponibilidad alta,particular
521329,Nice&perfect location singel room,2563986,Elena,Hispanoamérica,Chamartín,Madrid,Private room,"20,00 €","$23,20",0,5,364,Disponibilidad alta,profesional
521367,Penthouse with terrace in SOL,2564339,Alfonso & Guillermo,Sol,Centro,Madrid,Entire home/apt,"75,00 €","$87,00",121,14,99,Disponibilidad baja,profesional
522563,Beautiful loft in downtown Madrid,1652272,Xuan,Palacio,Centro,Madrid,Entire home/apt,"76,00 €","$88,16",91,1,179,Disponibilidad media,particular
524003,NEXT TO PLAZA MAYOR STATELY BUILDNG,2576044,Angel,Embajadores,Centro,Madrid,Private room,"65,00 €","$75,40",379,1,365,Disponibilidad alta,particular
526162,Single room in shared flat. Central,2249249,David,Pacífico,Retiro,Madrid,Private room,"19,00 €","$22,04",1,1,0,Disponibilidad baja,particular
526513,Sol.  Your home in Madrid´s Heart,1134989,Óscar,Sol,Centro,Madrid,Entire home/apt,"42,00 €","$48,72",517,1,169,Disponibilidad media,particular
531677,Bright room in the Gran Via!!!!,2613319,David,Universidad,Centro,Madrid,Private room,"34,00 €","$39,44",523,1,179,Disponibilidad media,particular
536574,Junior Rent,447969,Javier,Delicias,Arganzuela,Madrid,Entire home/apt,"70,00 €","$81,20",3,1,0,Disponibilidad baja,particular
537234,Single Naranja en casa de artista,2638528,Miguel,Palos de Moguer,Arganzuela,Madrid,Private room,"25,00 €","$29,00",19,2,0,Disponibilidad baja,particular
