id;name;host_id;host_name;neighbourhood_group;neighbourhood;city;room_type;price;usd;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;tipo disponibilidad;tipo host
6537942;adiacenze fiera Rho e campionaria;26542673;Carmela;-;S. SIRO;Milán;Private room;52;60,32;1;4;1;180;Disponibilidad media;particular
6538947;DESIGN WEEK @LAMBRATE VENTURA;15025424;Laura;-;LAMBRATE;Milán;Private room;43;49,88;2;3;1;363;Disponibilidad alta;particular
6540952;Cozy apartment Milan, 3 stops expo!;9335543;Simona;-;FARINI;Milán;Entire home/apt;80;92,8;2;3;1;0;Disponibilidad baja;particular
6541667;Renovated, good location.  2 Underground Lines;33811716;Monica;-;ISOLA;Milán;Entire home/apt;45;52,2;3;5;1;260;Disponibilidad alta;particular
6542322;clean and quiet small apartment;34200973;Silvana;-;PADOVA;Milán;Entire home/apt;48;55,68;6;16;1;272;Disponibilidad alta;particular
6547107;Studio max 3 persone;34246421;Barbara;-;PADOVA;Milán;Entire home/apt;30;34,8;2;41;1;0;Disponibilidad baja;particular
6547338;Beautiful apartment with view;10389876;Margherita;-;LAMBRATE;Milán;Entire home/apt;76;88,16;1;1;1;160;Disponibilidad media;particular
6547516;easyhomes Repubblica Lazzaretto - 2 bedrooms;10224569;Easyhomes;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;9999;11598,84;2;6;15;0;Disponibilidad baja;profesional
6549396;Friendly room or flat in Milan;797509;Simone;-;LORETO;Milán;Private room;80;92,8;1;0;1;365;Disponibilidad alta;particular
6552099;LUXURY APARTMENT CORSO BUENOS AIRES;23773643;Deborah;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;200;232;2;33;1;335;Disponibilidad alta;particular
6554049;Appartamento MILANO - PORTA VENEZIA;34277872;Lanfranco;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;148;171,68;3;3;6;365;Disponibilidad alta;profesional
6555709;Apartment Design;34285974;Angelo;-;TIBALDI;Milán;Entire home/apt;70;81,2;1;483;1;316;Disponibilidad alta;particular
